,Parent,Variable,Type,Name,Layer,Flow_min,Flow_grad,InOut
528,gv2_ss,gv2_ss_u6,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
529,gv2_ss,gv2_ss_v6,temp_chil,gv2_ss_tin_v,sp12gv2_temp,-0.0,-2.0,in
530,gv2_ss,gv2_ss_u6,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
531,gv2_ss,gv2_ss_v6,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,-0.0,377.5,in
532,gv2_ss,gv2_ss_u6,temp_chil,gv2_ss_tout_u,ss2sp2_temp,-0.5990223904131183,139.24166666666665,out
533,gv2_ss,gv2_ss_v6,temp_chil,gv2_ss_tout_v,ss2sp2_temp,-0.0,136.90833333333333,out
534,gv2_ss,gv2_ss_u6,flow,gv2_ss_flow_out_u,distnwk_consol_flow,0.0,377.5,out
535,gv2_ss,gv2_ss_v6,flow,gv2_ss_flow_out_v,distnwk_consol_flow,-0.0,377.5,out
536,gv2_ss,gv2_ss_u7,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
537,gv2_ss,gv2_ss_v7,temp_chil,gv2_ss_tin_v,sp12gv2_temp,0.0,-2.0,in
538,gv2_ss,gv2_ss_u7,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
539,gv2_ss,gv2_ss_v7,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,0.0,377.5,in
540,gv2_ss,gv2_ss_u7,temp_chil,gv2_ss_tout_u,ss2sp2_temp,-0.9879112793020085,139.575,out
541,gv2_ss,gv2_ss_v7,temp_chil,gv2_ss_tout_v,ss2sp2_temp,0.05555555555555551,136.575,out
542,gv2_ss,gv2_ss_u7,flow,gv2_ss_flow_out_u,distnwk_consol_flow,0.0,377.5,out
543,gv2_ss,gv2_ss_v7,flow,gv2_ss_flow_out_v,distnwk_consol_flow,0.0,377.5,out
544,gv2_ss,gv2_ss_u8,temp_chil,gv2_ss_tin_u,sp12gv2_temp,274.15,2.0,in
545,gv2_ss,gv2_ss_v8,temp_chil,gv2_ss_tin_v,sp12gv2_temp,0.0,-2.0,in
546,gv2_ss,gv2_ss_u8,flow,gv2_ss_mfin_u,gv2nwk2ss_flow,0.0,377.5,in
547,gv2_ss,gv2_ss_v8,flow,gv2_ss_mfin_v,gv2nwk2ss_flow,0.0,377.5,in
548,gv2_ss,gv2_ss_u8,temp_chil,gv2_ss_tout_u,ss2sp2_temp,-1.4323557237464515,139.90833333333333,out
