,Unit_name,v1_name,v2_name,v1_value,v2_value,y_value,Coeff_v1_2,Coeff_v1_1,Coeff_v2_2,Coeff_v2_1,Coeff_v1_v2,Coeff_cst,obj_contri
274,dist_np_combi_4_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.005594442617352094,0,0.17780603070754328,0,1.9775282632270061,0.0
275,dist_np_combi_5_0_time3,m_flow,delp,0.0,0.667287143037841,1.0,0,0.004394427412765004,0,0.02362278982659845,0,0.026310149049333646,0.0420733329833079
276,dist_np_combi_5_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.004394427412765004,0,0.02362278982659845,0,0.026310149049333646,0.0
277,dist_np_combi_5_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.004394427412765004,0,0.02362278982659845,0,0.026310149049333646,0.0
278,dist_np_combi_5_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.004394427412765004,0,0.02362278982659845,0,0.026310149049333646,0.0
279,dist_np_combi_6_0_time3,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
280,dist_np_combi_6_1_time3,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
281,dist_np_combi_6_2_time3,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
282,dist_np_combi_6_3_time3,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
283,enwk_1_time3,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
284,enwk_2_time3,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
285,enwk_3_time3,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
286,enwk_4_time3,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
287,cnwk_1_time3,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
288,cnwk_2_time3,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
289,cnwk_3_time3,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
290,cnwk_4_time3,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
